Price,Close,High,Low,Open,Volume
Ticker,QVAL,QVAL,QVAL,QVAL,QVAL
Date,,,,,
2015-11-09,20.712085723876953,20.899833748246465,20.584075633273347,20.899833748246465,11600
2015-11-10,20.712085723876953,20.712085723876953,20.57042055081116,20.652347790111044,9300
2015-11-11,20.532865524291992,20.660875585154084,20.464593383316462,20.660875585154084,3100
2015-11-12,20.097631454467773,20.353653222263247,20.097631454467773,20.345119000563095,6900
2015-11-13,19.628267288208008,20.09763824617909,19.628267288208008,20.05496875099514,16900
2015-11-16,19.78529167175293,19.78529167175293,19.611197086812087,19.611197086812087,8500
2015-11-17,19.756271362304688,19.923539183096782,19.756271362304688,19.867214620248337,2900
2015-11-18,19.96961784362793,19.97815206381488,19.90646656752778,19.90646656752778,1200
2015-11-19,20.03789710998535,20.08910244933387,19.969624951923976,20.046431333210105,3400
2015-11-20,20.215404510498047,20.31951942670088,20.148839849941183,20.31951942670088,9900
2015-11-23,20.225643157958984,20.2853810821406,20.072030422785488,20.072030422785488,6800
2015-11-24,20.293920516967773,20.32805578481039,20.07203557891205,20.10617084675467,9600
2015-11-25,20.28538703918457,20.34512498090894,20.2512501423496,20.34512498090894,13500
2015-11-27,20.353652954101562,20.36218717568927,20.353652954101562,20.36218717568927,700
2015-11-30,20.14884376525879,20.268319654980754,20.14884376525879,20.225650159433457,1400
2015-12-01,20.268310546875,20.31098002324763,20.174435745571788,20.251242105231473,15800
2015-12-02,20.02082633972168,20.17443908446413,20.00375952298976,20.17443908446413,9200
2015-12-03,19.64021110534668,19.88428369618172,19.612902568563843,19.824545763301575,205200
2015-12-04,19.961090087890625,19.961090087890625,19.63679775444397,19.701656546680617,8400
2015-12-07,19.764808654785156,19.94402408863701,19.657280371116038,19.94402408863701,7700
2015-12-08,19.559993743896484,19.628265908032343,19.4575846838243,19.59412901209602,9900
2015-12-09,19.338106155395508,19.665813475014055,19.321037709764667,19.665813475014055,8100
2015-12-10,19.44819450378418,19.483184328360945,19.389309506859682,19.42344639749161,7300
2015-12-11,18.971141815185547,19.269833088643093,18.962607592774017,19.227163604321937,13400
2015-12-14,18.791078567504883,19.116225530388235,18.74926200575156,18.92847746957416,14500
2015-12-15,19.039419174194336,19.135001514704197,18.838870589749277,18.838870589749277,10900
2015-12-16,19.252765655517578,19.252765655517578,19.082086081527574,19.082086081527574,5100
2015-12-17,18.928470611572266,19.030878015735862,18.928470611572266,18.937004833208622,4100
2015-12-18,18.71853256225586,18.93700406967615,18.71853256225586,18.88579874192259,5400
2015-12-21,18.732189178466797,18.829475728159146,18.732189178466797,18.829475728159146,12600
2015-12-22,19.039419174194336,19.0735560731772,18.812414981358636,18.812414981358636,7800
2015-12-23,19.312509536743164,19.312509536743164,19.116227233711246,19.150364135666578,7400
2015-12-24,19.30396842956543,19.491716424346897,19.2271620617602,19.2271620617602,9800
2015-12-28,19.161691665649414,19.199403682068446,19.04083763349331,19.182260964703698,12400
2015-12-29,19.327970504760742,19.412825810078598,19.28511534680674,19.412825810078598,8500
2015-12-30,19.298828125,19.379396926439846,19.293684983362322,19.293684983362322,11900
2015-12-31,19.027973175048828,19.159968445009397,19.027973175048828,19.087971025030903,4200
2016-01-04,19.01083755493164,19.04512135278472,18.68513248382064,18.822270944871775,128900
2016-01-05,18.993694305419922,19.06226353402067,18.847984490290916,18.93369643474669,42000
2016-01-06,18.521427154541016,18.80513377400037,18.41943075032257,18.7794196941486,37800
2016-01-07,18.333709716796875,18.530847628505924,18.2514276446479,18.36799513963982,14400
2016-01-08,17.745729446411133,18.49656256522271,17.745729446411133,18.49656256522271,13900
2016-01-11,17.5451717376709,17.930874763205676,17.51088793252323,17.930874763205676,18500
2016-01-12,17.8622989654541,18.050863911642193,17.590593656146083,17.91801196755344,11200
2016-01-13,17.40802574157715,17.85372646006123,17.382313307507832,17.64116238230216,10400
2016-01-14,17.651447296142578,17.651447296142578,17.150891851569643,17.519452003786288,3900
2016-01-15,17.279460906982422,17.279460906982422,16.95375749959894,17.030898081445944,4800
2016-01-19,17.065181732177734,17.2880321184299,16.953757356461278,17.23660560923917,90500
2016-01-20,17.00518798828125,17.00518798828125,16.422348626755618,16.799480266828613,83900
2016-01-21,17.013757705688477,17.245179483045437,16.893760320307372,17.116610739078578,33000
2016-01-22,17.38231658935547,17.50231233051874,17.305176002944975,17.305176002944975,3000
2016-01-25,17.133752822875977,17.296605360346295,17.090897666350887,17.252891923620712,6100
2016-01-26,17.450881958007812,17.4594533140264,17.03946504321062,17.099464535340733,3200
2016-01-27,17.28803062438965,17.43374041685378,17.28803062438965,17.43374041685378,600
2016-01-28,17.185178756713867,17.185178756713867,17.185178756713867,17.185178756713867,300
2016-01-29,17.656600952148438,17.656600952148438,17.4868919174139,17.4868919174139,2800
2016-02-01,17.725162506103516,17.750874944699987,17.330888221157764,17.330888221157764,361200
2016-02-02,17.322311401367188,17.438022243023966,17.31374168108342,17.438022243023966,3300
2016-02-03,17.450881958007812,17.5280225273561,17.116605612558907,17.159462392651843,9100
2016-02-04,17.519453048706055,17.68573377668334,17.463740046024583,17.570879555509396,11000
2016-02-05,17.25289535522461,17.388320554062187,17.25289535522461,17.388320554062187,1700
